TransitionComputerCode,RouteString
FFU9 OAL,FFU LODUY URNUW MLF ILC TPH OAL
FFU9 HVE,FFU OHQES HVE
FFU9 MLF,FFU LODUY URNUW MLF
FALCC1 SXC,FALCC SXC
FALCC1 SLI,FALCC SLI
FATHE3 VIYAP,FATHE MDBOG BKENI FEMON VIYAP
FEALX2 ETECK,FEALX BKING WOLFO ETECK
FEALX2 ZFP,FEALX PREDA ZFP
FEALX2 PADUS,FEALX PADUS
FEALX2 SNAGY,FEALX BKING WOLFO SNAGY
FEALX2 SUMRS,FEALX BKING WOLFO SUMRS
FEALX2 WOLFO,FEALX BKING WOLFO
FINZZ3 BEALE,FINZZ CAHIL ZOOMM SEBBY PLAYY ARCUS YELAH WYZEE BEALE
FINZZ3 HAILO,FINZZ CAHIL ZOOMM SEBBY PLAYY GUNNR ARRMY HAILO
FINZZ3 LAS,FINZZ CAHIL ZOOMM SEBBY PLAYY NNAVY BLAZN LAS
FINZZ3 MISEN,FINZZ CAHIL ZOOMM SEBBY PLAYY ARCUS YELAH MISEN
FINZZ3 NNAVY,FINZZ CAHIL ZOOMM SEBBY PLAYY NNAVY
FIXET4 FLASK,FIXET CLTCH KERRK TEEMS FLASK
FIXET4 GLANC,FIXET SCRAM DANOO WALCE GLANC
FIXET4 MAULS,FIXET CLTCH KERRK MAULS
FIXET4 MELTN,FIXET JDUBB CASLY MELTN
FIXET4 OTTTO,FIXET VERRY OTTTO
FIXET4 RAMAY,FIXET VERRY RAMAY
FIXET4 RRSIN,FIXET JDUBB TYPNZ SCORN RRSIN
FLAME3 GENDE,FLAME GENDE
FLMGO2 STYMY,FLMGO WAPOM STYMY
FLMGO2 WAPOM,FLMGO WAPOM
FLOUT5 GVO,FLOUT GVO
FLOUT5 RZS,FLOUT RZS
FLOUT5 VTU,FLOUT VTU
FLYZA5 ANKRR,FLYZA PPALE VUH ANKRR
FLYZA5 KELPP,FLYZA PPALE VUH KELPP
FLYZA5 MUSYL,FLYZA PPALE VUH MUSYL
