TransitionComputerCode,RouteString
GEEKY ZROBA1,GEEKY SNGGL NNJUH GIBLT DARRB BOOVE
GUTZZ ZROBA1,GUTZZ EGADS FDUBB KIILO KYSSS BOOVE
KIILO ZROBA1,KIILO KYSSS BOOVE
SNGGL ZROBA1,SNGGL NNJUH GIBLT DARRB BOOVE
CYN BOUNO5,CYN ANTMN BOUNO
SIE BOUNO5,SIE BECKR KKONG ANTMN BOUNO
IRK BQS8,IRK FONIX BQS
LMN BQS8,LMN BQS
SPI BQS8,SPI HUGIN BQS
ISO BRADE6,ISO TILTZ BRADE
TYI BRADE6,TYI BRADE
ILM BRADE6,ILM TILTZ BRADE
FSM BRBBQ3,FSM IGLOO SAUCC BRBBQ
IGLOO BRBBQ3,IGLOO SAUCC BRBBQ
RZC BRBBQ3,RZC MARBI IGLOO SAUCC BRBBQ
WHOLL BRBBQ3,WHOLL HOOOG BRBBQ
LBV BRDGE9,LBV BRDGE
RSW BRDGE9,RSW ROGAN BRDGE
PHK BRDGE9,PHK BRDGE
CHBLI BRIXX4,CHBLI GRIJO ZINNN CORKK BRIXX
MISON REBAS1,MISON BRIXX
RGOOD REBAS1,RGOOD KITTL BOOEE MISON BRIXX
RUSME REBAS1,RUSME SNORA ZOMER KIMZY BRIXX
SNORA REBAS1,SNORA ZOMER KIMZY BRIXX
YOSEM REBAS1,YOSEM SNORA ZOMER KIMZY BRIXX
MZEEE AANDY2,MZEEE BRKSR
SHRPE BRNKO3,SHRPE PYTNN ELWAY BRNKO
BEVAN GRUUB1,BEVAN GUSTR DAWNE BRODE
CRUZR GRUUB1,CRUZR TODME SLICK LAINN BRODE
GUSTR GRUUB1,GUSTR DAWNE BRODE
MEMRY GRUUB1,MEMRY LAINN BRODE
SPAIR GRUUB1,SPAIR DAWNE BRODE
STOON GRUUB1,STOON DAWNE BRODE
GZG BROOK4,GZG LAREL BROOK
SPA BROOK4,SPA MURKY KHAOS BROOK
KALSE BRRTO1,KALSE BRRTO
TMALE BRRTO1,TMALE BRRTO
BENJO BRWNZ4,BENJO COWCH FRYYE MCKOY WEEDN RDZON WINNZ GOLIC BRWNZ
DETMR BRWNZ4,DETMR CHUUB FRYYE MCKOY WEEDN RDZON WINNZ GOLIC BRWNZ
DOZRR BRWNZ4,DOZRR BRWNZ
FRYYE BRWNZ4,FRYYE MCKOY WEEDN RDZON WINNZ GOLIC BRWNZ
HASTE BRWNZ4,HASTE MNZEL KWYNN FRYYE MCKOY WEEDN RDZON WINNZ GOLIC BRWNZ
OLYEE BRWNZ4,OLYEE SCHAM HAVEN KWYNN FRYYE MCKOY WEEDN RDZON WINNZ GOLIC BRWNZ
WINNZ BRWNZ4,WINNZ GOLIC BRWNZ
GZG BTSEY2,GZG JTEEA BTSEY
KEESH ANTHM5,KEESH BUBBI
KEMAN ANTHM5,KEMAN BYNER LUNDY CURBY KEESH BUBBI
NUSMM ANTHM5,NUSMM KEMAN BYNER LUNDY CURBY KEESH BUBBI
WWSHR CBUSS2,WWSHR WAAHU BUGZZ
THHMP CAPSS3,THHMP BULII
WAVES CAPSS3,WAVES KSETT ELAPP BULII
GUP BUNTR3,GUP SLIDR PAYSO EAGUL PICHR DBACK HOMRR BUNTR
INW BUNTR3,INW JESSE GUMMO EAGUL PICHR DBACK HOMRR BUNTR
ZUN BUNTR3,ZUN DOJOE SLIDR PAYSO EAGUL PICHR DBACK HOMRR BUNTR
CAE BUZZY1,CAE TENNI SDZ BUZZY
JONEZ CAINE2,JONEZ DRRTH PRIZZ CAINE
JONEZ DAWGZ2,JONEZ DRRTH PRIZZ CAINE
ROLLS CAMET3,ROLLS SCUFF CAMET
SCUFF CAMET3,SCUFF CAMET
ROLLS DAWKS1,ROLLS SCUFF CAMET
SCUFF DAWKS1,SCUFF CAMET
HARPO CAMPS4,HARPO CAMPS
LNY CAMPS4,LNY KEIKI CAMPS
CACYE RAVNN7,CACYE TBART WYTEA YAEGR AKELL CAASH ECHOZ DNKEY FIMBO UDUDE REXEE CAPKO
CJAAE RAVNN7,CJAAE JOOEY TBART WYTEA YAEGR AKELL CAASH ECHOZ DNKEY FIMBO UDUDE REXEE CAPKO
HBUDA RAVNN7,HBUDA JBAAY TOOJM ACROW DFORT WALKN JAYOH CAPKO
JOOEY RAVNN7,JOOEY TBART WYTEA YAEGR AKELL CAASH ECHOZ DNKEY FIMBO UDUDE REXEE ELDEE CAPKO
THHMP RAVNN7,THHMP FZEEK WHHTE ACROW DFORT WALKN JAYOH CAPKO
CAM CDOGG4,CAM CDOGG
DELHI CEGRM6,DELHI CADIZ FATOX BOLRR TORIO MACES CRYME ARIVR CEGRM
ELANR CEGRM6,ELANR BOLRR TORIO MACES CRYME ARIVR CEGRM
ZABNU CEGRM6,ZABNU CADIZ FATOX BOLRR TORIO MACES CRYME ARIVR CEGRM
PJM CHAKA4,PJM JUICE CHAKA
PDT CHINS5,PDT BRUKK SUNED YKM CHINS
SUNED CHINS5,SUNED YKM CHINS
YKM CHINS5,YKM CHINS
GGAPP CHOWW3,GGAPP MNCIN PHHIL AALAN CHOWW
STEWW CHOWW3,STEWW RIGLL AALAN CHOWW
TYEGR CHOWW3,TYEGR WARKA DUUGG HAANG AALAN CHOWW
BBABE CHPPR1,BBABE LEMKE CHPPR
LEMKE CHPPR1,LEMKE CHPPR
MTHEW CHPPR1,MTHEW MGRIF BBABE LEMKE CHPPR
RUTTH CHPPR1,RUTTH JCKEE OWNNS CHPPR
AIROW CHSLY6,AIROW BEMOH WRLLD BLUEJ BURRZ SKLES DENTT BOOTS CHSLY
COUPN CHSLY6,COUPN ARGAL PELTS FEDOX SHANZ SDAIL WLLSH CHSLY
NUUMN CHSLY6,NUUMN SDAIL WLLSH CHSLY
SDAIL CHSLY6,SDAIL WLLSH CHSLY
HRTUN CHSNE2,HRTUN CHSNE
KISTS CHSNE2,KISTS CHSNE
LOPPY CHSNE2,LOPPY HUGHE CHSNE
MEM CHSNE2,MEM WITOS CHSNE
TINCA CHSNE2,TINCA CHSNE
DQN CLANG7,DQN MIE PENDS CLANG
EMPTY CLANG7,EMPTY DQN MIE PENDS CLANG
FWA CLANG7,FWA WGNER MIE PENDS CLANG
ROD CLANG7,ROD MIE PENDS CLANG
KIISS CLASH4,KIISS DYLLN WAIYN LYNKN CLASH
OATHE CLASH4,OATHE THINN ININN LYNKN CLASH
MXE CLIPR3,MXE NUGGY TROYZ BELAY TRISH CLIPR BAL EYESS
BISKS CLMNT2,BISKS HEMSI CLMNT
CRANS CLMNT2,CRANS BISKS HEMSI CLMNT
DULEE CLMNT2,DULEE CRANS BISKS HEMSI CLMNT
BLH CLOWD1,BLH DECAS UBABE CLOWD
DECAS CLOWD1,DECAS UBABE CLOWD
GFS CLOWD1,GFS ZELMA JOTNU TNP CLOWD
EED CLOWD1,EED UBABE CLOWD
AIR CLPRR3,AIR MEYRR CLPRR
ZANDR CLPRR3,ZANDR SACHO CLPRR
FAK COATT5,FAK NABBS COATT
RIC COATT5,RIC DEAND COATT
GLAZR LEDDL1,GLAZR DNUTS ARUSH COBBZ
LAFOX LEDDL1,LAFOX KOFEY ARUSH COBBZ
YOCKY LEDDL1,YOCKY ARUSH COBBZ
FLCHR COKTL4,FLCHR TBRAN ARYEL COKTL
GIINN COKTL4,GIINN TBRAN ARYEL COKTL
TQILA COKTL4,TQILA BASIC FLCHR TBRAN ARYEL COKTL
KIIDD COLTR4,KIIDD TALLR COLTR
RECKN COLTR4,RECKN ZATOX SNEWP COLTR
HUULK COMIX2,HUULK DECEA JOEKR GAMBT LEJEN COMIX
LAX COMIX2,LAX MRVEL SPYDE GAMBT LEJEN COMIX
SXC COMIX2,SXC SLAER LEJEN COMIX
EVLYN CONDR4,EVLYN CONDR
LITTR CONDR4,LITTR JOMAT EVLYN CONDR
YRBRO CONDR4,YRBRO WUKER EVLYN CONDR
BLD COYOT5,BLD PRFUM SINHO WOTRO DRK HATRK MAIER WEBAD COYOT
DRK COYOT5,DRK HATRK MAIER WEBAD COYOT
HEC COYOT5,HEC GFS USCUP PRFUM SINHO WOTRO DRK HATRK MAIER WEBAD COYOT
BORRD CPTAN3,BORRD FALTI CAARL CPTAN
KENLL CPTAN3,KENLL JOEYY ROTOW STEPP BORRD FALTI CAARL CPTAN
ROKKT CPTAN3,ROKKT DEBRL EBAYY CPTAN
WAMBI CPTAN3,WAMBI CPTAN
AEX CQY3,AEX TURNN NOBBL FZT CQY
CWK CQY3,CWK NAVYS CQY
EMG CQY3,EMG GGG CAPTI CQY
GGG CQY3,GGG CAPTI CQY
HERRI CQY3,HERRI FZT CQY
IAH CQY3,IAH CRIED CQY
LOA CQY3,LOA CQY
MHZ CQY3,MHZ MLU EMG GGG CAPTI CQY
MLU CQY3,MLU EMG GGG CAPTI CQY
NAVYS CQY3,NAVYS CQY
SQS CQY3,SQS MLU EMG GGG CAPTI CQY
ACT CQY3,ACT CQY
SUBWY CRAKN2,SUBWY COLTZ BUCKN FIYUR CRAKN
SUBWY HTROD2,SUBWY COLTZ BUCKN FIYUR CRAKN
BYRCH CRAZI4,BYRCH TYMBR CRAZI
EDYTH CRAZI4,EDYTH CRAZI
LOKOW CRAZI4,LOKOW CRAZI
DAG CRESO5,DAG DANBY SARAS WHIGG CRESO
HEC CRESO5,HEC DANBY SARAS WHIGG CRESO
BRENI CRVZA1,BRENI EELIZ BUGGI CRVZA
EELIZ CRVZA1,EELIZ BUGGI CRVZA
HFMAN CRVZA1,HFMAN GYTON PECOZ CRVZA
FST CSI2,FST CSI
JCT CSI2,JCT CSI
DDANY CSTAL2,DDANY GREAD XPRSO YEPPA RECEK BJOTA CSTAL
DEBRL CSTAL2,DEBRL BEEIN KAIZR DDANY GREAD XPRSO YEPPA RECEK BJOTA CSTAL
GREAD CSTAL2,GREAD XPRSO YEPPA RECEK BJOTA CSTAL
